fig_club,gesgolf_club,gesgolf_circolo_id,match_score,search_query
Torrazzo - Cremona,TORRAZZO - CREMONA,150,100,cremona
Torre Ronchi,TORRE RONCHI,435,100,ronchi
Torrenova Ssd,TORRENOVA SSD,842,100,torrenova
Toscana,TOSCANA,291,100,toscana
Trieste,TRIESTE,43,100,trieste
Udine,UDINE,44,100,udine
Valdichiana,,,,valdichiana
Valpescara,,,,valpescara
Valtellina,VALTELLINA,834,100,valtellina
Varese,VARESE,45,100,varese
Venezia,VENEZIA,46,100,venezia
Verdura,,,,verdura
Verona,VERONA,47,100,verona
Vicenza,VICENZA,447,100,vicenza
Vigevano G.C. Ssd,VIGEVANO G.C. SSD,847,100,vigevano
Vigne,VIGNE,673,100,vigne
Villa Carolina Ssd,VILLA CAROLINA SSD,833,100,villa carolina
Villa Condulmer,VILLA CONDULMER,49,100,villa condulmer
Villa D'Este,VILLA D'ESTE,48,100,este
Villa Giusti,,,38,villa
Villa Paradiso Ssd,VILLA PARADISO SSD,798,100,villa paradiso
Zoate,ZOATE,63,100,zoate
