fig_club,gesgolf_club,circolo_id,ges_route_name,suggested_fig_course_name,suggested_fig_source_external_id,suggested_relation,suggested_confidence,ges_route_status,ges_route_anomalies,protected_live,import_bucket,import_reason
Brianza,BRIANZA,117,Prime 9,Prime Nove,fig-course-brianza-prime-nove,base_route,low,safe,,no,needs_review,confidence_too_low
Brianza,BRIANZA,117,Seconde 9,Seconde Nove,fig-course-brianza-seconde-nove,base_route,low,safe,,no,needs_review,confidence_too_low
Brianza,BRIANZA,117,CAMPIONATO NAZI,18 Buche,fig-course-brianza-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Ca' Amata,CA' AMATA,144,18 Buche,18 Buche,fig-course-ca-amata-18-buche,playable_course,high,safe,,no,import_ready,all_checks_passed
Ca' Amata,CA' AMATA,144,SECONDE 9 BUCHE,18 Buche,fig-course-ca-amata-18-buche,playable_course,low,warning,par_total_anomaly_for_18,no,needs_review,ges_route_warning
Ca' Amata,CA' AMATA,144,PRIME 9 BUCHE,18 Buche,fig-course-ca-amata-18-buche,playable_course,low,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Ca' Amata,CA' AMATA,144,18 buche 2025,18 Buche,fig-course-ca-amata-18-buche,playable_course,medium,safe,,no,needs_review,confidence_too_low
Ca' Amata,CA' AMATA,144,9 buche 2025,Prime Nove Provvisorio 2025,fig-course-ca-amata-prime-nove-provvisorio-2025,base_route,low,safe,,no,needs_review,confidence_too_low
Ca' Nave Ssd,CA' NAVE SSD,852,CAMPIONATO,18 Buche,fig-course-ca-nave-ssd-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Ca' Nave Ssd,CA' NAVE SSD,852,CHAMPION,18 Buche,fig-course-ca-nave-ssd-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Ca' Nave Ssd,CA' NAVE SSD,852,Prime 9 buche,Prime Nove,fig-course-ca-nave-ssd-prime-nove,base_route,low,safe,,no,needs_review,confidence_too_low
Ca' Nave Ssd,CA' NAVE SSD,852,Seconde 9 buche,Seconde Nove,fig-course-ca-nave-ssd-seconde-nove,base_route,low,safe,,no,needs_review,confidence_too_low
Ca' Ulivi,CA' ULIVI,92,champion,18 Buche,fig-course-ca-ulivi-18-buche,playable_course,low,warning,second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Ca' Ulivi,CA' ULIVI,92,Champion,18 Buche,fig-course-ca-ulivi-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Ca' Ulivi,CA' ULIVI,92,new6.050,18 Buche,fig-course-ca-ulivi-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Ca' Ulivi,CA' ULIVI,92,MIRA18 b,Mirabello,fig-course-ca-ulivi-mirabello,playable_course,low,safe,,no,needs_review,confidence_too_low
Ca' Ulivi,CA' ULIVI,92,Mirab 9 bucheok,Mirabello 9 B.,fig-course-ca-ulivi-mirabello-9-b,base_route,low,safe,,no,needs_review,confidence_too_low
Campodoglio,CAMPODOGLIO,701,9 Buche Old 24,9 Buche Old 2024,fig-course-campodoglio-9-buche-old-2024,base_route,medium,safe,,no,needs_review,confidence_too_low
Campodoglio,CAMPODOGLIO,701,18 Buche Old 24,18 Buche Old 2024,fig-course-campodoglio-18-buche-old-2024,playable_course,medium,safe,,no,needs_review,confidence_too_low
Campodoglio,CAMPODOGLIO,701,9 Buche New 24,9 Buche New 2024,fig-course-campodoglio-9-buche-new-2024,base_route,medium,safe,,no,needs_review,confidence_too_low
Campodoglio,CAMPODOGLIO,701,18 Buche New 24,18 Buche New 2024,fig-course-campodoglio-18-buche-new-2024,playable_course,medium,safe,,no,needs_review,confidence_too_low
Campodoglio,CAMPODOGLIO,701,9 Buche Easy,9 Buche Easy 2024,fig-course-campodoglio-9-buche-easy-2024,base_route,medium,safe,,no,needs_review,confidence_too_low
